调研地,村名,村落光伏发展指数,分组,if_exp_unit,村内常住人口总数,是否为贫困村,村人均收入,领取低保补助人数,教育结构,性别结构,年龄结构,是否对光伏政策进行了推广普及,村干部是否包含大学生村官或选调生,全村每年电力消耗,村内电价,村内家庭用电所占比例,是否出现过电力负荷过高,村内是否有除光伏外的其他新能源建设
重庆-重庆市-万州区,百安坝街道（城镇）,0.813285188,7,0,140000,0,52451,710,0.85,0.47,0.444,1,1,-1,0.52,0.7,0,1
重庆-重庆市-南川区,重庆市南川区福寿镇白岩村,0.271086462,7,0,683,1,1310,39,0.1,0.6,0.24,0,1,210000,0.52,0.8,0,1
重庆-重庆市-丰都县,培观村,1.897605234,7,1,720,0,12000,61,0.2,0.6,0.2,0,0,-1,-1.0,0.6,1,1
浙江-温州市-永嘉县,联丰村,0.542172924,3,1,2000,0,50000,80,0.6,0.5,0.2,0,1,120000,0.5,0.3,1,0
浙江-温州市-平阳县,凤山村,1.901055074,3,1,-1,0,65000,13,-0.02,-0.01,-0.01,0,1,-1,0.95,-0.01,0,0
浙江-温州市-瓯海区,南白象街道,1.087503056,3,0,70000,0,30000,50,-0.02,-0.01,-0.01,1,1,-1,0.5,-0.01,0,0
浙江-台州市-天台县,苍蒲坑村,0.542172924,3,1,500,0,-1,22,0.3,0.5,0.27,0,0,-1,0.53,1.0,0,0
浙江-台州市-天台县,东陈村,0.542172924,3,1,3500,0,50000,30,0.44,0.6,0.28,0,0,365000,0.5,0.8,0,0
浙江-宁波市-海曙区,长乐村,1.084345848,3,0,2658,1,37000,11,0.496,0.5,0.218,0,1,2000000,0.55,0.94,0,0
浙江-嘉兴市-桐乡市,义马村,1.496753332,3,0,5000,0,-1,0,0.35,0.6,0.28,0,0,-1,0.55,-0.01,0,0
浙江-嘉兴市-海宁市,德丰村,1.677780883,3,0,2825,1,40476,31,0.3,0.52,0.3,0,1,434880,0.5,0.4,0,1
浙江-湖州市-长兴县,抛渎岗村,0.428643626,3,1,2225,1,32300,10,-0.02,0.5,0.2,0,0,3184000,0.53,1.0,0,1
浙江-杭州市-余杭区,荀山村,0.116259614,3,0,6027,0,-1,70,-0.02,0.6,-0.01,0,1,-1,0.54,-0.01,1,0
云南-昭通市-镇雄县,布丈村,1.084345848,7,0,7608,1,8100,850,0.6,0.5,0.3,0,0,2015400,0.35,0.7,1,1
云南-昆明市-呈贡区,万奚冲村,0.271086462,7,0,1070,0,20300,6,0.3,0.5,0.3,0,0,251000,0.5,0.8,0,0
云南-大理白族自治州-永平县,光映村,1.127740618,7,0,1902,1,15300,93,0.4,0.55,0.35,1,0,624240,0.45,0.4,0,0
天津-天津市-静海区,府君庙村,1.355627042,2,0,1950,1,20000,43,0.5,0.6,-0.01,0,1,-1,0.49,-0.01,0,0
四川-自贡市-富顺县,凤仪村,0.0,7,0,2450,0,20600,300,0.1,0.55,0.28,0,0,5000000,0.51,0.7,1,0
四川-内江市-隆昌县,福庆村,0.542172924,7,0,1348,1,17000,77,0.4,0.6,0.24,0,1,541920,0.54,0.9,0,0
四川-绵阳市-游仙区,涪江村,0.542172924,7,0,2100,0,35000,10,0.5,0.556,0.3,0,0,3174600,0.62,0.6,1,1
四川-绵阳市-盐亭县,照红村,0.542172924,7,0,1736,0,17000,94,0.4,-0.01,0.1,0,1,-1,0.52,0.8,0,0
四川-绵阳市-江油市,诗仙村,0.816416594,7,0,6000,0,-1,-1,0.6,0.4,0.5,0,1,-1,0.52,0.8,1,0
四川-德阳市-广汉市,百里村,1.39882708,7,0,6546,0,22300,40,0.5,0.55,0.23,0,0,-1,0.5,0.6,1,1
四川-成都市-简阳市,九龙滩村,0.271086462,7,0,238,0,12000,10,-0.02,0.56,-0.01,0,1,120000,0.8,0.3,0,0
上海-上海市-浦东新区,孙桥,0.276208433,3,0,6300,0,54000,2,0.62,0.5,0.4,0,1,-1,0.54,0.6,0,1
上海-上海市-奉贤区,法华村,0.27424367,3,1,1691,0,-1,3,0.25,0.55,0.15,0,1,-1,0.6,0.6,0,0
陕西-咸阳市-淳化县,南胡同村,1.050101781,6,0,440,1,6701,94,0.517,0.55,0.295,0,0,102000,0.49,0.81,0,0
陕西-西安市-周至县,联集村,-0.037823189,6,0,2300,0,12000,28,-0.02,0.56,0.4,0,0,-1,0.49,-0.01,1,1
陕西-西安市-周至县,骆驼营村,0.623063512,6,0,1500,0,10050,66,0.5,0.53,0.1,0,0,600000,0.49,0.5,1,0
陕西-渭南市-潼关县,南歇马村,1.358872567,6,1,500,1,10000,10,0.6,0.5,0.35,1,0,102040,0.49,1.0,0,0
陕西-宝鸡市-岐山县,五丈原,0.271086462,6,1,1100,0,30000,8,0.5,-0.01,0.304,0,0,-1,0.5,-0.01,0,0
山西-运城市-芮城县,曹庄村,0.973918513,2,1,1273,0,9000,24,0.2,0.6,0.05,0,1,2057862,0.48,0.85,0,0
山西-运城市-芮城县,西陌村,2.79146852,2,1,1200,0,9000,201,0.55,0.6,0.18,0,1,22000,0.48,0.9,0,0
山西-忻州市-原平市,焦家寨,0.813259386,2,1,178,0,760,10,0.55,0.57,0.15,0,1,148024,0.56,0.45,0,1
山西-太原市-阳曲县,黄寨村,1.939654616,2,0,191,1,10000,80,0.1,0.67,0.1,0,1,-1,0.47,0.7,1,0
山西-太原市-阳曲县,中社村,1.010935326,2,0,1701,0,15000,65,-0.02,-0.01,-0.01,0,1,100000,0.47,-0.01,0,1
山西-太原市-娄烦县,河北村,2.797866685,2,0,255,1,14000,43,0.7,0.25,0.2,1,1,6120000,0.09,0.8,0,0
山西-太原市-古交市,河口村,1.744886377,2,0,2500,0,3000,150,0.6,0.5,0.52,0,0,-1,0.48,0.8,1,0
山西-晋城市-阳城县,会庆村,1.047074601,2,0,1000,0,16000,57,0.6,0.5,0.3,1,0,200000,0.48,0.6,0,0
山西-晋城市-沁水县,郑庄村,1.084345848,2,0,500,1,5000,12,0.5,0.5,0.3,0,1,-1,-1.0,-0.01,1,0
山西-晋城市-沁水县,常店村,0.504412854,2,0,832,0,13000,19,0.4,0.7,0.1,0,1,-1,0.45,0.6,0,1
山东-淄博市-桓台县,城东村,0.0,3,1,830,0,30000,15,0.8,0.5,0.3,1,1,800000,0.54,0.5,0,1
山东-烟台市-牟平区,陡崖村,0.939660476,3,0,215,1,15000,4,0.1,0.5,0.08,0,0,12000,0.55,0.8,1,0
山东-烟台市-莱州市,连郭庄村,0.439119217,3,1,1430,0,27000,7,0.4,0.5,0.4,1,0,200000,0.55,0.65,0,1
山东-潍坊市-青州市,十八里屯村,1.087322994,3,1,2378,0,23000,37,0.7,0.55,0.33,0,0,997000,0.55,0.55,0,1
山东-泰安市-泰山区,刘家庄,0.893835664,3,0,940,0,5000,14,0.2,0.45,0.35,0,0,1200000,0.58,0.8,0,0
山东-泰安市-宁阳县,北鄙村,1.667246658,3,0,1700,1,3000,120,-0.02,0.5,0.02,1,1,-1,0.53,0.99,0,1
山东-泰安市-岱岳区,大桥村,0.542172924,3,0,625,0,35000,6,0.115,0.5,-0.01,0,1,-1,0.5,1.0,0,0
山东-日照市-五莲县,中至村,1.084870659,3,0,660,0,15000,76,0.35,0.6,0.16,1,0,2400000,0.54,0.65,0,0
山东-日照市-东港区,大坡村,1.12534404,3,0,1650,0,12000,32,0.2,0.4,0.05,0,1,-1,0.55,0.7,0,0
山东-青岛市-崂山区,金家岭街道,1.087503056,3,0,-1,0,-1,-1,-0.02,-0.01,-0.01,1,1,-1,-1.0,-0.01,0,1
山东-青岛市-莱西市,田格庄,1.627378836,3,1,900,0,3000,3,0.5,0.6,0.2,1,0,20000,0.56,0.6,1,1
山东-青岛市-莱西市,大刘格庄村,1.084345848,3,1,1000,0,10000,20,0.3,0.55,0.3,0,0,50000,0.54,1.0,1,1
山东-青岛市-莱西市,范家疃,0.853913553,3,1,1000,0,-1,-1,0.5,0.6,0.2,0,0,-1,0.55,0.5,1,1
山东-青岛市-莱西市,张家寨子,0.929455285,3,1,576,0,10000,5,0.5,0.55,0.1,1,0,54万,0.55,0.6,0,1
山东-临沂市-蒙阴县,类家城子村,1.402158165,3,0,700,1,5000,20,0.08,0.488,0.4,1,0,-1,0.52,0.9,0,0
山东-临沂市-兰山区,枣园镇,0.271086462,3,0,400,0,1850,10,0.7,0.6,0.1,0,1,-1,6.0,0.4,1,1
山东-济宁市-任城区,（南张街道）玄楼村,0.546142452,3,0,600,1,15000,1,0.2,0.55,0.4,0,0,1240000,0.55,0.8,0,0
山东-济宁市-曲阜市,春亭,2.597842607,3,1,700,0,6000,360,0.3,0.5,0.15,1,0,2500000,0.52,0.7,0,1
山东-济宁市-曲阜市,王庄,2.801923081,3,1,232,0,6000,7,0.1,0.65,0.08,1,0,178029,0.52,0.65,0,1
山东-济南市-商河县,单家园,1.913231754,3,1,780,0,13000,4,0.6,0.45,0.23440000000000003,1,0,1096500,0.55,0.75,0,1
山东-济南市-历城区,港沟街道,1.355430261,3,1,1112022,0,4500,-1,0.73,0.545,0.4,1,1,18000000,0.55,0.44,0,1
山东-济南市-槐荫区,鲁唐村,1.084345848,3,0,390,1,60000,2,0.5,0.55,0.31,0,0,10000,0.54,0.0,1,1
山东-菏泽市-单县,大朱庄,0.813259386,3,0,500,1,4000,8,0.5,0.5,0.22,0,0,75000,0.52,0.7,0,0
山东-德州市-陵城区,三洄河村,1.127236182,3,0,600,1,40000,7,0.23,-0.01,0.4,0,0,-1,0.54,0.6,1,1
山东-德州市-德城区,前赵村,1.084345848,3,0,1000,1,20000,-1,0.3,0.6,0.25,0,1,-1,0.5,0.3,0,1
山东-滨州市-沾化区,东杨村,0.0,3,1,840,1,9500,58,0.6,0.5,0.2,0,0,490000,0.5469,0.7,0,0
内蒙古-鄂尔多斯市-达拉特旗,得胜泰村,0.192798156,2,0,1320,0,12360,45,0.3,0.55,0.05,1,0,3812,0.3583,0.4,0,0
内蒙古-赤峰市-喀喇沁旗,河北村,0.0,2,0,2100,0,10000,149,0.7,0.5,0.2,0,1,50000,0.5,0.9,0,0
辽宁-沈阳市-浑南新区,下高士村,0.271086462,1,0,642,0,18000,4,0.07,0.5,0.2,0,0,800000,0.5,1.0,1,0
江西-宜春市-上高县,锦阳小区,1.362700459,3,0,11835,0,50000,50,0.8,0.5,0.4,0,1,10000000,0.6,0.6,1,1
江西-上饶市-广丰区,桐畈村,0.542172924,3,0,347,0,5000,450,-0.02,0.6,0.1,0,0,217000,0.31,0.8,0,1
江西-吉安市-永新县,富头村,1.517780159,3,0,410,1,15000,41,0.5122,0.4,0.2937,1,1,-1,0.6,0.6,0,1
江西-吉安市-井冈山市,沃壤村,1.941000004,3,0,1400,1,7500,55,0.15,0.55,0.35,0,0,2500,0.6,0.9,0,1
江西-赣州市-赣县区,江口镇旱塘村,1.920691938,3,0,1800,1,25000,1000,0.05,0.45,0.05,1,0,-1,0.6,0.7,0,0
江西-赣州市-赣县区,江口镇东风村,1.828683045,3,0,600,1,20000,-1,0.1,0.55,0.05,1,0,-1,0.6,0.8,0,0
江苏-盐城市-响水县,周集村,1.823039977,3,0,4200,0,22763,-1,0.5,0.625,0.33,0,0,42000000,0.5,-0.01,0,1
江苏-盐城市-亭湖区,五星村,0.813259386,3,0,8000,0,51000,5,0.8,0.6,0.3,0,1,80000,0.81,0.7,0,0
江苏-泰州市-兴化市,唐林村,0.271086462,3,0,619,0,26000-27000,18,0.3,0.55,0.22,0,0,-1,0.6,1.0,0,0
江苏-南通市-如东县,田季村,0.001799611,3,1,2200,1,20000,11,-0.02,0.36,-0.01,0,0,-1,0.53,-0.01,0,1
江苏-南通市-如东县,高前村,0.482163105,3,1,5000,0,50000,20,-0.02,0.52,-0.01,0,1,20000000,0.9,0.25,0,1
吉林-长春市-绿园区,杨柳社区,0.0,1,0,11869,0,83028,20,0.8,0.517,0.25,0,0,-1,0.6,0.6,0,0
吉林-长春市-九台区,拉拉屯村,0.271086462,1,0,400,0,15000,1,0.1,0.5,0.1,0,0,-1,0.5,0.5,0,0
吉林-延边朝鲜族自治州-汪清县,罗子沟农场,1.717990725,1,1,210,1,24000,74,0.6,0.4,0.3,1,0,-1,0.59,0.6,0,1
湖南-张家界市-永定区,吴家嘴村,0.582472566,5,0,1635,0,6700,104,0.6,0.6,0.28,0,0,2387567,0.5888,0.9,0,1
湖南-张家界市-永定区,大庸所,2.212086466,5,0,2350,1,12000,70,-0.02,0.6,0.4,1,0,3775170,0.588,-0.01,0,0
湖南-张家界市-永定区,沙缇,2.212086466,5,0,1800,1,10000,45,-0.02,0.6,0.43,0,0,3711564,0.588,-0.01,0,1
湖南-岳阳市-汨罗市,清泉村,0.542172924,5,1,3175,1,21000,53,0.45,0.33299999999999996,0.2,0,0,8000,0.6,0.7,0,0
湖南-永州市-东安县,雄塘村,1.087135246,5,0,900,0,25000,16,0.8,0.57,0.4,1,1,-1,0.55,0.6,1,0
湖南-邵阳市-新宁县,飞黄村,0.542172924,5,0,1445,0,6500,30,0.29,0.6,0.2,1,1,100000000,0.6,0.7,1,1
湖南-娄底市-新化县,六竹村,1.39882708,5,0,110,1,11000,45,0.1,0.6,0.3,1,0,600000,-1.0,0.81,0,0
湖南-娄底市-娄星区,斗罡村,0.542860975,5,0,2200,0,10000,45,0.65,0.6,0.2,0,1,827500,0.58,0.5,1,0
湖南-娄底市-娄星区,三圭村,1.084689111,5,0,2500,0,8000,15,0.65,0.54,0.25,0,1,827500,0.58,0.5,0,1
湖北-宜昌市-伍家岗区,雷家畈村,1.053925759,5,0,1260,0,24300,38,0.58,0.5,0.42,1,0,-1,0.56,0.7,1,1
湖北-宜昌市-五峰土家族自治县,大房坪村,0.271158509,5,0,13486,0,35000,61,0.7,0.526,0.38,0,1,-1,0.68,0.7,1,1
湖北-宜昌市-五峰土家族自治县,楠木桥村,0.813259386,5,0,650,0,13536,90,0.25,0.55,0.29600000000000004,0,1,100000,0.558,0.5,0,1
湖北-孝感市-云梦县,水酒铺村,0.0,5,1,1886,1,13000,37,0.5,0.6,0.2,0,0,6480000,0.5,0.6,0,1
湖北-咸宁市-通山县,岭下村,0.272279615,5,0,253,0,5000,16,0.15,0.55,0.02,0,0,415200,0.55,0.7,1,0
湖北-荆州市-监利县,新庄村,0.813259386,5,0,2954,1,4500,223,0.35,0.45,0.37,0,1,3500000,0.56,0.5,1,0
湖北-荆州市-公安县,丁堤拐村,0.814617382,5,0,800,0,2000,45,0.4,0.6,0.3,1,1,300000,0.58,0.4,0,1
