username,like,content,ctime,topic
唐努乌梁海的忧伤,3853,我妈前几天给我打电话要装，那个无良公司说我妈超过60岁了不能签必须我签，其实是怕老人没有偿还能力，我看了合同，真的满满都写着吃人，我不让装我妈还骂我说人家别人家都装了，都收了两三年钱了，唉，几年前我妈给一个非法集资跑业务把我们夫妻为数不多的存款都打了水漂，现在又要装光伏发电，能不能不坑你儿子,2021-11-09 23:35:49,1
贺兰江城,1780,这哪是光伏骗局啊！就是诈骗么！换个幌子继续骗。不仔细说怎么避免诈骗团伙把责任都归给光伏，避重就轻吧！,2021-11-09 23:17:53,2
云荒,689,关键是这种合同居然合法？,2021-11-09 20:22:12,2
想养一只黑色的小猫,545,家用光伏发电设备整套便宜的也才不过五万，自带电池停电还能撑一会的那种，像这种所谓的免费光伏发点不过是过去免费送高级保健品一类的骗局的变种罢了，一七年的的时候左右我外婆还在，当时我也在，然后我们村里面来了一个搞宣传的，就像我们所熟知的传统手段一样，先是送盆送抹布一类的便宜货，然后又宣传了三天，最后让一大群老年人掏出八百多买了一个九块九包邮的带有感温变色体的碗，老年人全都劝不住，因为他们就信那些，所以我还是觉得那些资本家就该找个路灯挂起来。,2021-11-10 14:34:49,2
落木666,812,求置顶！评论区里面很多人说up抹黑光伏，亲身经历告诉我，这东西就是坑。我老爸就被骗了，说什么3年回本，以后就是赚钱，欺骗农民不懂经济，考虑时间价值，最理想的状况也要7年。安装之前忽悠人赶快签合同，然后交钱。等我回来才知道这件事，打开一看，合同里面全是保障光伏公司利益的条款，还要我们包安装人员的吃住，陌生人住你家，安全没有保障。而且搬运上屋顶也要自己解决，要有人跟着帮忙安装。出了问题问题你再打电话去公司，那些孙子突然变成大爷，气的要死。再说收益，完全就达不到预期，都是些骗子玩意，不要安装，有钱放支付宝都比这玩意香！,2021-11-11 15:04:50,0
睡不着の神,390,还是得找靠谱的公司，作为曾经的央企光伏行业从业者，得说这种事不是光伏的错，是这些无良公司，这些公司追热点搞骗局，太可恶了。同时说一下，投资回收期主要看地点，当地光照条件越好回收越快，设备如果选用可靠的大厂设备，在安装时按正常市场价格，投资回收期并不会达到十年这么久，好的4年，江浙沪也可以5-6年回本，但是一个农村的项目本来投资面积就不大，自家屋顶也就小几万的投资总额，这里面如果在设备上以次充好，加收几千元过量的设备安装费用，在回收期测算上，会对内部收益率影响很大，因此，想做光伏，首先要看自家屋顶条件，当地的光照条件，当地的补贴和上网电价，再找专业人员采购安装，这个如果懂电气设备，懂产品质量，是赚钱的，但是大公司很少做这样的项目，今年推出了整县推进的政策，会有越来越多正规公司进入，希望大家别对光伏项目丧失信心，以上。,2021-11-09 23:34:10,0
嘿嘿嘿嘎嘿嘿,663,"逐渐转移话题，把诈骗的锅往光伏上贴
什么居心[保卫萝卜_哇][保卫萝卜_哇]",2021-11-09 23:47:55,2
七年前已封笔,881,你说的这个跟光伏一点关系没有，只是遇到了骗子而已了，不要抹黑新能源产业，这是我国摆脱美国石油霸权，美元霸权的重要武器，而且不存在产能过剩，随着碳减排，火电厂发电量必然下降，现在电力缺口非常大，整个电力行业都在讨论源网荷储各个能源端口进行处理，恰恰相反完全是不足，而且电费也面临要涨价的压力了，这么多年电费没涨，也是国家压着的。,2021-11-10 01:12:28,1
異度空间-,281,装光伏太阳能发电的.来了几波人说几年就回本.还能赚很多钱.我都是一句话这么赚钱我没有时间照看.我屋顶250多平方你们要租随便租.合同我拟一份按年给我房租就可以.其它我不管.我也不要多一年1000块就行了.在就没有后续了也没有人来了哈哈哈.,2021-11-10 13:20:50,1
云荒,155,up你倒是说说为什这种情况居然合法而不是诈骗？不然你说这么多不就是废话,2021-11-09 20:24:05,2
阿基米的杠杆,136,银行有什么权利把钱贷给没有稳定收入的人？,2021-11-09 22:40:19,2
内蒙古精神病院张主任,265,不要侮辱光伏行业   诈骗就是诈骗,2021-11-10 11:02:46,2
行ba你说的都对,137,说了一大堆制造焦虑的东西，后续的建议和解决方案还有国家的动作一概也不提[喜极而泣],2021-11-09 23:08:55,2
一颗流氓栗子,91,我是某新农业科技公司的职员，认识的朋友是新能源光伏发电公司的员工(是国家扶持的公司)。他说目前有人上门宣传免费安装光伏发电的都不要相信，目前国家认可的这部分光伏下乡项目都是企业只做技术支持和安装，法律条款和税收之类的是国家出面解决，而且一般推广光伏创收都是提前半年以上跟当地村政府村委说好了，然后村里统一决定或者政府工作人员上门办的。像这种纠着个体户赚钱的多半是骗子，还可能到最后被国家判定为违法收入。[吃瓜]如果你自己想安装，建议通过政府渠道申请咨询。[吃瓜],2021-11-17 17:51:02,0
