word,count
我妈,26
前几天,5
给我打电话,5
要装,6
无良,15
公司,200
超过,5
60,12
岁,7
签,46
老人,22
偿还,7
能力,6
我看了,5
合同,191
真的,42
满满,2
都写,3
吃人,11
不让,9
骂我,2
家,13
装了,65
收了,5
两三年,3
钱了,3
几年前,12
非法集资,4
跑业务,2
夫妻,2
为数不多,2
存款,4
打了,4
水漂,2
又要,4
光伏,607
发电,163
坑,41
儿子,3
骗局,127
诈骗,157
换个,6
幌子,3
骗,55
仔细,4
团伙,7
责任,11
归给,2
避重就轻,3
关键,6
合法,16
家用,9
发电设备,6
整套,4
便宜,12
五万,2
自带,2
电池,27
停电,8
撑,3
一会,3
那种,19
像这种,5
免费,73
发点,4
不过是,5
免费送,3
高级,4
保健品,2
一类,4
变种,2
一七年,2
外婆,2
还在,13
村,34
来了,18
搞,41
宣传,22
就像,7
熟知,2
传统,3
手段,8
先是,4
送盆,2
送,5
抹布,2
便宜货,2
然后又,4
三天,3
一大群,3
老年人,10
掏出,2
八百多,2
买了,12
九块九,2
包邮,2
带有,3
感温,2
变色,2
体的,2
碗,2
劝,5
不住,3
因为他们,3
就信,2
我还是,5
资本家,7
就该,2
找个,3
路灯,6
挂起来,2
求,2
置顶,2
评论,26
区,15
人说,8
抹黑,17
亲身经历,2
告诉我,2
东西,83
我老爸,3
被骗,40
说什么,6
回本,68
赚钱,87
欺骗,10
农民,49
不懂,19
经济,4
时间价值,2
最理想,3
状况,3
也要,10
安装,162
忽悠,16
签合同,34
交钱,7
等我,5
回来,13
才知道,3
这件事,5
打开,3
一看,3
全是,7
保障,5
利益,13
条款,8
包,3
人员,11
吃住,2
陌生人,2
你家,17
搬运,4
屋顶,85
解决,10
跟着,5
帮忙,3
出了问题,4
再打电话,2
孙子,3
大爷,5
气,2
要死,2
收益,68
达不到,2
预期,2
骗子,95
玩意,50
有钱,12
放,15
支付宝,4
都比,12
香,2
还是得,2
找,35
谱,15
央企,4
行业,44
从业者,4
得说,2
事,17
错,9
追,2
热点,3
太可恶,2
投资,70
回收期,6
地点,2
光照,19
条件,11
越好,2
回收,13
越快,2
设备,141
选用,2
可靠,5
大厂,9
时,11
市场价格,2
十年,42
这么久,2
江浙沪,3
56,2
农村,53
项目,62
本来,10
面积,7
也就,15
几万,7
投资总额,2
这里面,4
如果在,2
以次充好,4
加收,2
几千元,2
过量,2
设备安装,3
费用,16
测算,3
会对,2
内部,3
收益率,10
影响,11
很大,7
想做,3
要看,6
当地的,5
补贴,64
上网,14
电价,19
再找,2
专业人员,2
采购,4
懂,11
电气设备,2
产品质量,2
大公司,7
推出了,2
整县,3
推进,7
政策,15
会有,4
越来越,8
正规,21
希望大家,2
别对,2
丧失,2
信心,2
转移,6
话题,3
锅,7
上贴,3
居心,4
保卫,4
萝卜,4
_,19
你说的,17
新能源,42
产业,42
我国,16
摆脱,2
美国,5
石油,3
霸权,4
美元,2
武器,3
不存在,3
产能过剩,18
碳,11
减排,5
火电厂,2
发电量,17
下降,5
电力,13
缺口,2
非常大,2
电力行业,2
都在,10
讨论,3
源网,2
荷储,2
能源,11
端口,2
电费,58
面临,4
涨价,3
压力,4
多年,6
没涨,2
国家,98
压着,2
太阳能发电,11
几波,2
几年,16
就回,5
赚,58
钱,86
一句,13
话,10
我没有,3
时间,16
照看,2
250,2
平方,5
租,31
随便,6
我拟,2
一份,5
按年,3
给我,18
房租,4
就可以,8
我不管,2
一年,70
1000,15
块,18
就行了,11
后续,9
哈哈哈,6
为什,2
这种情况,9
而不是,11
你说,7
这么多,7
废话,7
银行,107
有什么,11
权利,2
把钱,9
贷给,3
稳定,8
收入,15
侮辱,2
说了,9
一大堆,6
制造,4
焦虑,2
建议,29
解决方案,2
动作,2
一概,2
也不,17
提,5
喜极而泣,4
某新,2
农业科技,2
职员,2
朋友,10
员工,3
扶持,7
他说,4
上门,13
认可,2
这部分,3
下乡,12
企业,36
只做,3
技术支持,2
法律,18
